Time,Manipulability,Error
78.436,69.6035,1.51699
78.536,68.8714,1.51414
78.6359,67.8028,1.5093
78.736,66.3577,1.50263
78.837,64.4647,1.49417
78.9391,62.0904,1.48408
79.0389,59.256,1.4728
79.1389,56.0874,1.46059
79.241,52.8469,1.44825
79.341,49.0128,1.43716
79.441,45.1013,1.42781
79.5409,41.2567,1.38011
79.643,37.4558,1.32398
79.7434,33.8292,1.27961
79.8429,30.116,1.24738
79.943,27.0569,1.22301
80.0434,24.709,1.205
80.1432,22.9968,1.19238
80.243,22.0348,1.18423
80.3429,21.6524,1.17908
80.443,21.5687,1.1755
80.543,21.3791,1.17236
80.643,21.0932,1.1697
80.7429,20.561,1.16738
80.843,19.8566,1.16591
80.943,18.9885,1.16542
81.0429,18.2407,1.16295
81.143,17.4895,1.16044
81.2431,16.6711,1.15812
81.344,15.8371,1.15606
81.444,15.048,1.15439
81.544,14.2878,1.1531
81.644,13.5302,1.15249
81.746,12.7651,1.15278
81.8469,12.0967,1.15334
81.948,11.5026,1.15342
82.0489,10.9794,1.15346
82.1489,10.5059,1.15362
82.249,10.1953,1.15392
82.35,9.96282,1.15415
82.451,9.83455,1.15467
82.551,9.86324,1.15555
82.6511,9.89665,1.15652
82.752,9.93372,1.15728
82.8521,9.98223,1.15788
82.952,10.0413,1.15861
83.0523,10.0947,1.15951
83.1523,10.1258,1.16055
83.252,10.157,1.16178
83.359,10.2326,1.29996
83.4589,10.3767,1.28009
83.5603,10.592,1.24319
83.66,10.9704,1.19247
83.76,11.5529,1.13058
83.86,12.3358,1.06064
83.96,13.4575,0.983993
84.06,14.9206,0.903414
84.16,16.4875,0.821355
84.261,18.4095,0.737725
84.3611,20.3339,0.660562
84.461,21.8789,0.597246
84.561,22.8963,0.552467
84.661,23.6446,0.521266
84.761,24.0717,0.50052
84.861,24.7087,0.488643
84.962,25.822,0.483243
85.0623,27.0229,0.482361
85.165,28.1152,0.482632
85.265,28.8013,0.482519
85.3654,29.0924,0.481767
85.465,29.0938,0.48069
85.569,29.0171,0.479858
85.67,28.98,0.479458
85.772,28.968,0.479334
85.8735,28.9637,0.479293
85.9733,28.9611,0.479273
86.073,28.96,0.479257
86.173,28.9595,0.479251
86.273,28.9589,0.479241
86.3731,28.9584,0.479237
86.473,28.9579,0.479236
86.5731,28.9578,0.479228
86.673,28.9579,0.479224
86.7731,28.9574,0.479224
86.885,28.9571,0.479224
86.985,28.9572,0.479221
87.085,28.9568,0.479216
87.1861,28.9572,0.479221
87.2892,28.957,0.479215
87.389,28.9567,0.479214
87.489,28.9568,0.479214
87.59,28.9568,0.479215
87.69,28.9566,0.479212
87.7913,28.9565,0.479211
87.8912,28.9566,0.479209
87.9921,28.9562,0.479212
88.092,28.9564,0.479209
88.1922,28.9565,0.479209
88.292,28.956,1.48527
88.3981,28.8424,1.48219
88.498,28.5894,1.47535
88.598,28.2889,1.45467
88.698,28.0123,1.42665
88.7991,27.69,1.39209
88.9,27.2384,1.35119
89,26.6304,1.30538
89.1011,25.8371,1.25374
89.201,24.8562,1.19821
89.3014,23.5706,1.13824
89.4011,22.1188,1.0761
89.5022,20.502,1.01427
89.6021,19.2456,0.962512
89.7021,19.1307,0.924999
89.802,19.7247,0.901192
89.9021,20.2324,0.885773
90.0021,20.594,0.875378
90.1023,20.8766,0.868732
90.2021,21.0223,0.864653
90.3021,21.0264,0.862776
90.4021,21.0269,0.862913
90.5021,21.0625,0.863538
90.6021,21.087,0.863957
90.7025,21.0899,0.864038
90.8022,21.0902,0.864058
90.9021,21.0908,0.864069
91.0026,21.0906,0.864082
91.1021,21.0904,0.864081
91.202,21.0905,0.864088
91.302,21.0902,0.86409
91.402,21.0904,0.864097
91.5021,21.0901,0.864097
91.6021,21.0903,0.864097
91.7021,21.0905,0.8641
91.8054,21.0904,0.864102
91.9051,21.0905,0.864102
92.0051,21.0905,0.864106
92.105,21.0908,0.864108
92.2051,21.0903,0.864106
92.3061,21.0907,0.864107
92.4062,21.0904,0.864108
92.5071,21.0904,0.86411
92.6071,21.0903,0.864109
92.7072,21.0905,0.864116
92.8074,21.0904,0.864113
92.9081,21.0905,0.864111
93.0081,21.0903,0.864111
93.109,21.0903,0.864114
93.2095,21.0902,0.864118
93.3152,21.0927,1.40742
93.4153,21.146,1.40144
93.5161,21.4029,1.38861
93.6162,21.8066,1.37165
93.7171,22.327,1.35015
93.8171,22.751,1.31609
93.9171,22.9861,1.25679
94.0172,22.8385,1.18735
94.1171,22.4006,1.10688
94.2182,21.6353,1.01498
94.3182,20.6195,0.910894
94.4181,19.3409,0.790432
94.5181,17.6448,0.651143
